発生拠点,発生年月日,成形機No.,設備名,トラブル内容,原因,是正内容,対応時間(h),対応者,調査過程,調査時の注意点
防府,2024/10/13,550-6,その他,ホイルキャップ塗装機のブース開閉シャッターが下がらない,電磁弁の動作不良により、シリンダーのロッド側の抜けが悪く下降しないと考えられる,下降前に上昇のバルブを0.5秒ONさせ、その後下降させるようPLC変更,2.0h,桐澤,シャッター上昇、下降時のバルブの電圧確認(電圧有)→下降前に1度上昇のバルブをONさせると動作することが判明→おそらくシリンダー内のエア圧の抜けが悪く下降しなかった→予備の電磁弁がなかった為PLCにて細工した,PLCの変更は慎重に行うこと。変更する場合は必ずバックアップデータを保存し変更する
MAPP,2024/11/5,550-4,オートローダー,"オートローダーの真空ポンプ用モータのサーマルリレー
がトリップする","ベアリングの劣化
","予備のオートローダと交換
ベアリング交換",0.5h,松村,オートローダ運転し、モータが回転するか確認→回転しなかった為、モータを解体しベアリングの状態を確認し、ベアリングが回転しなかったためベアリングを交換した。,何度もサーマルリレーをリセットし、モータを運転させようとすると、モータのコイルが焼損しモータごと交換が必要になるので注意すること
防府,2024/11/20,850-4,成形機,自動運転中にメインブレーカ(漏電遮断器)がトリップ,メインブレーカの経年劣化？？,ブレーカの感知時間を延ばした,1.0h,桐澤,サーボモータのファンを単独で運転させ、トリップするか確認(トリップしなかった)→ノズルヒータの絶縁チェック(問題無)→漏電遮断器の経年劣化の可能性→漏電遮断器の感知時間を延ばしトリップしなくなった,漏電遮断器の感知電流の設定は変更してはいけない。感電するリスクが高くなる。
MNAC,2024/11/30,850-6,成形機,準備モードでノズルが前進しない(後退はする),"操作盤のノズル前進SWの配線が断線していた
",配線復旧,1.0h,桐澤,操作盤内部の配線を確認→ノズル前進SWの配線が断線していた。,復旧時に配線がほかの充電部に接触して短絡しないよう制御電源を遮断して復旧作業すること
防府,2024/12/7,850-4,成形機,余熱ホットランナーが設定温度まで上昇しない,ホットランナーのコネクタが破損しており、接続したときに接触不良を起こしていた。,コネクタ交換,3.0h,桐澤,コネクタの導通チェック(問題なし)→他の金型で確認(設定温度まであがらない)→コネクタの破損確認(1部破損しており、接触不良により焦げている箇所があった)→コネクタ交換,電源を遮断してすること
防府,2025/1/8,350-6,成形機,ノズルヒータの温度が設定より高く昇温する,ノズルヒータの配線がNH1とNH2が振り替わっていた,配線復旧,1.0h,國弘,ノズルヒータボックス(端子箱)でコネクタの差し間違えがないか確認(差し間違えていた)→コネクタ復旧,コネクタ交換時はヒータをOFFにして交換すること
防府,2025/3/13,850-6,成形機,ノズル温度が表示されない(***と表示されていた),温度センサーの破損,センサー交換,1.5h,松村,ヒータボックス(端子箱)で表示されていない箇所の温度センサーの配線を短絡し、大気温度が表示されるか確認(表示された)→センサー本体を調査すると破損していたのでセンサーを交換した。,間違えてセンサーではなく、ヒータ線を短絡しないこと。センサーの型式を確認して同じ型式のものを取り付けること。
防府,2025/3/18,850-2,成形機,コンバータ異常発生(異常コード702),コンバータ1次電圧の過上昇?,電源リセットで異常解除され、その後再発無,0.5h,桐澤,成形機の取説で異常コードを確認→取説の手順に従って電源リセット(成型機のメインブレーカ)をリセット→異常復旧その後再発無,サーボ系のアラームは取説で異常コードを確認して対処すること
防府,2025/3/19,550-9,温調器,ポンプからの異音,ベアリングの劣化,ポンプモータ交換,4.0h,桐澤,異音確認→予備の温調器と交換→温調器のポンプモータを交換→マシンに復旧,
防府,2025/3/25,550-9,成形機,"樹脂漏れ
ノズルの付け間違え",R15のノズルを付けなければならないが、R10のノズルが付いていた,ヒータ、センサー、ノズル交換,4.0h,松村,バーナーで樹脂を熱し樹脂を外す→ヒータと温度センサーを交換,ヒータとセンサーの型式を確認して取付のこと
防府,2025/4/15,,その他,2ライン小型用チラーの高圧圧力が高い(2.6Mpa),冷却水入のストレーナの詰まり,ストレーナ清掃,3.0h,國弘,取説で処置内容確認→ストレーナ取り外し→ストレーナ清掃→ストレーナ取付→確認運転(問題なし),ストレーナを取り外す際は大量の水が出てくるのでバケツ等で受けて作業する事
防府,2025/5/18,850-1,温調器,温調器の温度が設定温度まで上昇しない,基盤の劣化,基盤交換,4.0h,松村,バルブを閉めて温度が上昇するか？(上昇した)→電磁弁の出力確認(常時200V出力していいた)→基盤の劣化と考えられる,温調器の交換をする場合は、同じ容量の温調器に交換する事。交換時は1次側のブレーカを遮断すること
